ID	UnitTypeID	ItemName	Scale	Offset	OperationID	Notes
284	41	mol/m3	0.001	0.0	1	Raul
285	41	mol/litre	1.0	0.0	1	Raul
286	41	mol/dm3	1.0	0.0	1	Raul
287	1	MPa	1000000.0	0	1	Modified from kPa
288	1	bar(g)	100000.0	101325.0	1	Modified from bar
289	33	Nm3/s	0.044642857	0.0	1	YK Mod for Japanese Gas Company 
290	33	Nm3/h	1.24008E-05	0.0	1	YK Mod for Japanese Gas Company 
291	20	Btu/SCF	882.5201627	0.0	1	Raul to be used in LHV and GHV
292	42	K/kPa	1.0	0.0	1	Marco
293	42	R/psia	8.0576524e-02	0.0	1	Marco
294	42	C/kPa	1.0	0.0	1	Marco
295	42	F/psia	8.0576524e-02	0.0	1	Marco
296	42	K/Pa	1000.0	0.0	1	Raul
297	43	grain/kg	1.0	0.0	1	Raul for humidity
298	43	grain/g	1000.0	0.0	1	Raul
299	43	grain/lb	2.20462262	0.0	1	Raul
300	43	kg/kg	15430.0	0.0	1	Raul
301	33	SCMD	4.885572e-7	0.0	1	YK converted from SCFD and ft3
302	33	MSCMD	4.885572e-4	0.0	1	YK converted from SCFD and ft3
303	33	MMSCMD	4.885572e-1	0.0	1	YK converted from SCFD and ft3
